"nrounds","max_depth","eta","train_mse","param_idx"
100,9,0.1,0.0451468270057269,7
200,9,0.1,0.00502825471874519,8
500,9,0.1,1.3475860681619e-05,9
100,3,0.01,1.39754881537416,10
200,3,0.01,1.2106158771275,11
500,3,0.01,1.06292634223736,12
100,6,0.01,1.10909456926807,13
200,6,0.01,0.815527750761159,14
500,6,0.01,0.53891590820943,15
100,9,0.01,0.786349931143562,16
200,9,0.01,0.373480421584693,17
500,9,0.01,0.115402663975729,18
100,3,0.001,2.01664547933001,19
200,3,0.001,1.89554813841493,20
500,3,0.001,1.6332354680052,21
100,6,0.001,1.96635665457866,22
200,6,0.001,1.80158212417556,23
500,6,0.001,1.44272391385088,24
100,9,0.001,1.92197219970957,25
200,9,0.001,1.72032791629366,26
500,9,0.001,1.25404476924652,27
100,3,0.1,0.906734094625834,1
200,3,0.1,0.713251313667627,2
500,3,0.1,0.409624501811069,3
100,6,0.1,0.34293768032061,4
200,6,0.1,0.147446744991733,5
500,6,0.1,0.0124598137110645,6
100,9,0.1,0.0534118911746856,7
200,9,0.1,0.00529741435494203,8
500,9,0.1,1.23670731552635e-05,9
100,3,0.01,1.39439507042648,10
200,3,0.01,1.20303923836819,11
500,3,0.01,1.03574709075406,12
100,6,0.01,1.11967556465668,13
200,6,0.01,0.83161127254884,14
500,6,0.01,0.565016778264757,15
100,9,0.01,0.804607836662972,16
200,9,0.01,0.409751854688236,17
500,9,0.01,0.139759438118429,18
100,3,0.001,2.03032229922663,19
200,3,0.001,1.90701280753999,20
500,3,0.001,1.63899349717671,21
100,6,0.001,1.98192080535478,22
200,6,0.001,1.8191808925203,23
500,6,0.001,1.45391765254081,24
100,9,0.001,1.93552162159883,25
200,9,0.001,1.72944649149756,26
500,9,0.001,1.26078570655832,27
100,3,0.1,0.899214159676301,1
200,3,0.1,0.715926665240216,2
500,3,0.1,0.39450452808918,3
100,6,0.1,0.325159888962389,4
200,6,0.1,0.12823516563827,5
500,6,0.1,0.0108766000414137,6
100,9,0.1,0.0457960534301233,7
200,9,0.1,0.00542821576334242,8
500,9,0.1,2.23110585234631e-05,9
100,3,0.01,1.38741093373617,10
200,3,0.01,1.1916690708366,11
500,3,0.01,1.03186260484351,12
100,6,0.01,1.10818230792903,13
200,6,0.01,0.795988312485658,14
500,6,0.01,0.534286256549474,15
100,9,0.01,0.791011141859593,16
200,9,0.01,0.397759161083659,17
