"ntree","mtry","train_mse","param_idx"
150,27,0.0214716094304921,12
200,27,0.0200440345220541,13
250,27,0.0210702462252664,14
300,27,0.0196897165629051,15
100,17,0.0913314096191654,1
150,17,0.085533150202238,2
200,17,0.0654654794401636,3
250,17,0.0696648846461187,4
300,17,0.0789058685276791,5
100,22,0.0515882672897641,6
150,22,0.0398970183071199,7
200,22,0.0365242050870433,8
250,22,0.0400880115271436,9
300,22,0.0365634902888762,10
100,27,0.02563273856862,11
150,27,0.0184018199130447,12
200,27,0.0232596856112856,13
250,27,0.0217538710616438,14
300,27,0.0193104635337392,15
350,30,0.0134786949395055,1
400,30,0.0141633260732774,2
450,30,0.0141330098186827,3
500,30,0.0128936429001776,4
350,33,0.00968854290140714,5
400,33,0.00886108332441496,6
450,33,0.00956316979145135,7
500,33,0.00893442990677321,8
350,36,0.00675419558017273,9
400,36,0.00683913916684504,10
450,36,0.00720824390584778,11
500,36,0.00668958395960174,12
350,30,0.0149798075539196,1
400,30,0.013352057300585,2
450,30,0.0138606521302717,3
500,30,0.0125658840230213,4
350,33,0.0110776065345469,5
400,33,0.00945132958513686,6
450,33,0.00965956214766894,7
500,33,0.00946954946442159,8
350,36,0.00709125278140174,9
400,36,0.00723847819010415,10
450,36,0.00651425200828682,11
500,36,0.00701422752949011,12
350,30,0.0123082877890121,1
400,30,0.0132521775446117,2
450,30,0.0111753619743221,3
500,30,0.0129354553982749,4
350,33,0.00786405538147527,5
400,33,0.00888931865467239,6
450,33,0.00961797048288143,7
500,33,0.0076500841171994,8
350,36,0.00693598815801057,9
400,36,0.00551383041355516,10
450,36,0.00618094995490161,11
500,36,0.00683175335933537,12
350,30,0.0128045180778172,1
400,30,0.0148296948933362,2
450,30,0.0158819334442785,3
500,30,0.014035241175482,4
350,33,0.0108550582845391,5
400,33,0.0116506714404768,6
450,33,0.0108602444644882,7
500,33,0.0110739849812912,8
350,36,0.00815317969486125,9
400,36,0.00811452779363264,10
450,36,0.00767480404483844,11
500,36,0.00790144332033226,12
350,30,0.014766193177347,1
400,30,0.0127573225534904,2
450,30,0.0121428389573194,3
500,30,0.0113645377105529,4
350,33,0.00909067623590523,5
400,33,0.00900275925925924,6
450,33,0.00879723417250748,7
500,33,0.00915378490930998,8
350,36,0.00668649321604591,9
400,36,0.00605330014160402,10
450,36,0.00633184692861303,11
500,36,0.00672466105657025,12
350,30,0.0155348181838184,1
400,30,0.0158816751336766,2
450,30,0.0131749988944636,3
500,30,0.0141332104702562,4
350,33,0.00946735894513818,5
400,33,0.010589232615602,6
450,33,0.0105135554118828,7
500,33,0.00953134282248857,8
350,36,0.00729296950553435,9
400,36,0.00846570021909485,10
450,36,0.0075927491763284,11
500,36,0.00747903113394217,12
350,30,0.0150315163790783,1
400,30,0.0144562475058266,2
450,30,0.0133486513590582,3
500,30,0.0141726135904997,4
350,33,0.0104400267054691,5
400,33,0.00968456642656405,6
450,33,0.0105968873061396,7
500,33,0.0104645094999366,8
350,36,0.00721075629924724,9
400,36,0.00829920389792616,10
450,36,0.00751874601474468,11
500,36,0.00754433384512935,12
350,30,0.0141747716060169,1
400,30,0.0132918145878916,2
450,30,0.0138842090775348,3
500,30,0.0137002599565576,4
350,33,0.0101254148559729,5
400,33,0.0104562276678835,6
450,33,0.0103078086165291,7
500,33,0.0103320026445966,8
350,36,0.00770251652533162,9
400,36,0.00657408835784895,10
450,36,0.00717348049691204,11
500,36,0.00682073188261031,12
350,30,0.016325040921163,1
400,30,0.0157068529309757,2
450,30,0.0162266312339102,3
500,30,0.0138471356782724,4
350,33,0.0117033519126829,5
400,33,0.0119894671258641,6
450,33,0.0109498442552035,7
500,33,0.0113705268007991,8
350,36,0.00970844818749421,9
400,36,0.00861070778188027,10
450,36,0.00909834957305316,11
500,36,0.00895242124746327,12
350,30,0.0145857055461073,1
400,30,0.0135750565672961,2
450,30,0.0123869832462684,3
500,30,0.0147178635924023,4
350,33,0.00978406650578804,5
400,33,0.0101088103348157,6
450,33,0.00969438453916669,7
500,33,0.0104239677704845,8
350,36,0.00709031384928402,9
400,36,0.00794232948951198,10
450,36,0.00731207070070027,11
500,36,0.0076601923300355,12
5,30,0.072796692668696,1
10,30,0.0436100298072044,2
5,33,0.0603839928970066,3
10,33,0.0421803985920852,4
5,36,0.0497325247336377,5
10,36,0.0254197139776763,6
5,30,0.0840607781582952,1
10,30,0.0238934574771689,2
5,33,0.0420466673008625,3
10,33,0.0384838145294266,4
5,36,0.0316238077118214,5
10,36,0.0371524670218163,6
5,30,0.0646606703450025,1
10,30,0.0356227953767123,2
5,33,0.0646920218163368,3
10,33,0.0333266893391679,4
5,36,0.0538591546169457,5
10,36,0.0271466340055809,6
5,30,0.0929154521816337,1
10,30,0.042353437341451,2
5,33,0.0426858637747336,3
10,33,0.030202021499239,4
5,36,0.0513277302130898,5
10,36,0.0313430389079148,6
5,30,0.124096588026383,1
10,30,0.0654569595065956,2
5,33,0.0611399860476915,3
10,33,0.0463393859398782,4
5,36,0.0296913749365804,5
10,36,0.0198766861681887,6
5,30,0.104121699010654,1
10,30,0.043920589167935,2
5,33,0.0770814275748351,3
10,33,0.0249599687658549,4
5,36,0.0377434233891425,5
10,36,0.0337026683789954,6
5,30,0.120326166920345,1
10,30,0.0427807410578386,2
5,33,0.0562111206240487,3
10,33,0.0549996408866058,4
5,36,0.0434718607305936,5
10,36,0.0233557695966514,6
5,30,0.100385794013191,1
10,30,0.0319484684170472,2
5,33,0.0365735191527143,3
10,33,0.0467472697869102,4
5,36,0.0379894564941654,5
10,36,0.0261659381341958,6
5,30,0.0717231449771689,1
10,30,0.0405060565702689,2
5,33,0.0427084918822932,3
10,33,0.0346000808599695,4
5,36,0.0646950025367833,5
10,36,0.0201838819127346,6
5,30,0.0889579084221207,1
10,30,0.0488505374809741,2
5,33,0.0453955067224759,3
10,33,0.0374341617516489,4
5,36,0.0643978564180619,5
10,36,0.0329795551116185,6
